"SuspiciousFile","ExecutableName","Exists"
"c:\windows\softwaredistribution\download\install\am_delta_patch_1.421.374.0.exe","AM_DELTA_PATCH_1.421.374.0.EX","False"
"c:\users\administrator\downloads\unconfirmed 884962\api monitor (rohitab.com)\apimonitor-x64.exe","APIMONITOR-X64.EXE","False"
"c:\users\administrator\appdata\local\temp\is-d3tpv.tmp\elex493_setup.tmp","ELEX493_SETUP.TMP","False"
"c:\users\administrator\appdata\local\temp\is-0ur3b.tmp\elex_setup.tmp","ELEX_SETUP.TMP","False"
"c:\users\administrator\appdata\local\microsoft\onedrive\24.211.1020.0001\filecoauth.exe","FILECOAUTH.EXE","False"
"c:\program files\windowsapps\microsoft.xboxgamingoverlay_2.34.28001.0_x64__8wekyb3d8bbwe\gamebar.exe","GAMEBAR.EXE","False"
"c:\program files\windowsapps\microsoft.xboxgamingoverlay_7.124.3191.0_x64__8wekyb3d8bbwe\gamebar.exe","GAMEBAR.EXE","False"
"c:\program files\windowsapps\microsoft.xboxgamingoverlay_7.224.9031.0_x64__8wekyb3d8bbwe\gamebar.exe","GAMEBAR.EXE","False"
"c:\program files\windowsapps\microsoft.xboxgamingoverlay_7.124.5142.0_x64__8wekyb3d8bbwe\gamebar.exe","GAMEBAR.EXE","False"
"c:\users\administrator\appdata\local\temp\is-2iern.tmp\git-2.46.0-64-bit.tmp","GIT-2.46.0-64-BIT.TMP","False"
"c:\users\administrator\appdata\local\temp\is-ne6vk.tmp\git-2.46.0-64-bit.tmp","GIT-2.46.0-64-BIT.TMP","False"
"c:\windows\systemtemp\gumc5d3.tmp\googleupdate.exe","GOOGLEUPDATE.EXE","False"
"c:\program files\windowsapps\microsoft.windowscommunicationsapps_16005.14326.21446.0_x64__8wekyb3d8bbwe\hxaccounts.exe","HXACCOUNTS.EXE","False"
"c:\users\administrator\appdata\local\temp\is-2gj5j.tmp\hxdsetup.tmp","HXDSETUP.TMP","False"
"c:\program files\windowsapps\microsoft.windowscommunicationsapps_16005.14326.21446.0_x64__8wekyb3d8bbwe\hxoutlook.exe","HXOUTLOOK.EXE","False"
"c:\users\administrator\appdata\local\temp\jds967875.tmp\jre-8u351-windows-x64.exe","JRE-8U351-WINDOWS-X64.EXE","False"
"c:\users\administrator\appdata\local\temp\jds913106843.tmp\jre-8u381-windows-au.exe","JRE-8U381-WINDOWS-AU.EXE","False"
"c:\program files\windowsapps\microsoft.windows.photos_2023.10030.27002.0_x64__8wekyb3d8bbwe\microsoft.photos.exe","MICROSOFT.PHOTOS.EXE","False"
"c:\program files (x86)\microsoft\edgecore\129.0.2792.79\msedgewebview2.exe","MSEDGEWEBVIEW2.EXE","False"
"c:\users\administrator\desktop\processhacker\x64\processhacker.exe","PROCESSHACKER.EXE","True"
"c:\$windows.~ws\sources\setuphost.exe","SETUPHOST.EXE","False"
"c:\users\administrator\appdata\local\temp\~nsu1.tmp\un.exe","UN.EXE","False"
"c:\users\administrator\appdata\local\squirreltemp\update.exe","UPDATE.EXE","False"
"c:\program files (x86)\google\googleupdater\132.0.6806.0\updater.exe","UPDATER.EXE","False"
"c:\windows\temp\{0402f34d-9b64-4ff8-8072-b79711c7a198}\.cr\vcredist_x64.exe","VCREDIST_X64.EXE","False"
"c:\windows\temp\{9a93da8a-1438-4695-b383-23c3bc364aed}\.be\vc_redist.x64.exe","VC_REDIST.X64.EXE","False"
"c:\windows\temp\{b932928b-6d49-440b-b43c-b6c7ee96efbc}\.be\vc_redist.x86.exe","VC_REDIST.X86.EXE","False"
"c:\users\administrator\downloads\vmware-workstation-full-17.0.0-20800274.exe","VMWARE-WORKSTATION-FULL-17.0.","False"
"c:\windows\temp\{0f4e3016-e732-400c-9540-6ba0ad706e4f}\.cr\windowsdesktop-runtime-6.0.31-win-x64.exe","WINDOWSDESKTOP-RUNTIME-6.0.31","False"
"c:\windows\temp\{d29950c2-8e50-4f5a-94c2-4e04e2b7372b}\.be\windowsdesktop-runtime-6.0.31-win-x64.exe","WINDOWSDESKTOP-RUNTIME-6.0.31","False"
"c:\users\administrator\appdata\local\temp\_iu14d2n.tmp","_IU14D2N.TMP","False"
